viviendaCodigo;periodo;DPE;MONTO_DPE;CAMUZZI;MONTO_CAMUZZI;DPOSS;MONTO_DPOSS
AB-439;2026_01;1838;$ 1.000,00;2304/0;$ 2.400,00;12992;$ 3.000,00
AB-440;2026_01;1900;$ 1.000,00;2305/1;$ 2.400,00;12993;$ 3.000,00
AB-441;2026_01;5472;$ 1.000,00;2308/7;$ 2.400,00;12990;$ 3.000,00
AB-442;2026_01;3056;$ 1.000,00;2309/9;$ 2.400,00;12991;$ 3.000,00
AB-443;2026_01;1741;$ 1.000,00;2310/5;$ 2.400,00;12966;$ 3.000,00
AB-444;2026_01;1817;$ 1.000,00;2311/7;$ 2.400,00;12967;$ 3.000,00
AB-445;2026_01;1782;$ 1.000,00;2312/9;$ 2.400,00;12968;$ 3.000,00
AB-446;2026_01;1885;$ 1.000,00;2313/1;$ 2.400,00;12969;$ 3.000,00
AB-447;2026_01;3393;$ 1.000,00;2314/2;$ 2.400,00;12970;$ 3.000,00
AB-448;2026_01;1777;$ 1.000,00;2315/4;$ 2.400,00;12971;$ 3.000,00
AB-449;2026_01;1836;$ 1.000,00;2316/6;$ 2.400,00;12972;$ 3.000,00
AB-450;2026_01;1611;$ 1.000,00;2317/8;$ 2.400,00;12973;$ 3.000,00
AB-451;2026_01;1829;$ 1.000,00;2318/0;$ 2.400,00;12974;$ 3.000,00
AB-452;2026_01;3270;$ 1.000,00;2319/1;$ 2.400,00;12975;$ 3.000,00
AB-453;2026_01;1816;$ 1.000,00;2320/8;$ 2.400,00;12976;$ 3.000,00
AB-454;2026_01;1728;$ 1.000,00;2321/0;$ 2.400,00;12977;$ 3.000,00
AB-455;2026_01;1874;$ 1.000,00;2322/1;$ 2.400,00;12978;$ 3.000,00
AB-456;2026_01;1868;$ 1.000,00;2323/3;$ 2.400,00;12979;$ 3.000,00
AB-457;2026_01;1810;$ 1.000,00;2324/5;$ 2.400,00;12980;$ 3.000,00
AB-458;2026_01;3746;$ 1.000,00;2325/7;$ 2.400,00;12981;$ 3.000,00
AB-459;2026_01;1843;$ 1.000,00;2326/9;$ 2.400,00;12982;$ 3.000,00
AB-460;2026_01;1749;$ 1.000,00;2327/1;$ 2.400,00;12983;$ 3.000,00
AB-461;2026_01;1798;$ 1.000,00;2328/2;$ 2.400,00;12984;$ 3.000,00
AB-462;2026_01;1796;$ 1.000,00;2329/4;$ 2.400,00;12985;$ 3.000,00
AB-463;2026_01;1804;$ 1.000,00;2330/1;$ 2.400,00;12889;$ 3.000,00
AB-464;2026_01;1625;$ 1.000,00;2331/2;$ 2.400,00;12890;$ 3.000,00
AB-465;2026_01;1845;$ 1.000,00;2332/4;$ 2.400,00;12891;$ 3.000,00
AB-466;2026_01;1866;$ 1.000,00;2333/6;$ 2.400,00;12892;$ 3.000,00
AB-467;2026_01;1793;$ 1.000,00;2334/8;$ 2.400,00;12893;$ 3.000,00
AB-468;2026_01;1787;$ 1.000,00;2335/0;$ 2.400,00;12894;$ 3.000,00
AB-469;2026_01;1886;$ 1.000,00;2336/1;$ 2.400,00;12895;$ 3.000,00
AB-470;2026_01;1872;$ 1.000,00;2337/3;$ 2.400,00;12896;$ 3.000,00
AB-471;2026_01;1893;$ 1.000,00;2338/5;$ 2.400,00;12897;$ 3.000,00
AB-472;2026_01;1768;$ 1.000,00;2339/7;$ 2.400,00;12898;$ 3.000,00
AB-473;2026_01;1850;$ 1.000,00;2340/3;$ 2.400,00;12899;$ 3.000,00
AB-474;2026_01;21921;$ 1.000,00;2341/5;$ 2.400,00;12900;$ 3.000,00
AB-475;2026_01;1789;$ 1.000,00;2342/7;$ 2.400,00;12901;$ 3.000,00
AB-476;2026_01;5656;$ 1.000,00;2343/9;$ 2.400,00;12902;$ 3.000,00
AB-477;2026_01;1831;$ 1.000,00;2344/1;$ 2.400,00;12903;$ 3.000,00
AB-478;2026_01;1822;$ 1.000,00;2345/2;$ 2.400,00;12904;$ 3.000,00
AB-479;2026_01;11705;$ 1.000,00;2346/4;$ 2.400,00;12905;$ 3.000,00
AB-480;2026_01;1582;$ 1.000,00;2347/6;$ 2.400,00;12906;$ 3.000,00
AB-481;2026_01;1884;$ 1.000,00;2348/8;$ 2.400,00;12907;$ 3.000,00
AB-482;2026_01;1882;$ 1.000,00;2349/0;$ 2.400,00;12908;$ 3.000,00
AB-483;2026_01;2999;$ 1.000,00;2350/6;$ 2.400,00;12909;$ 3.000,00
AB-484;2026_01;3223;$ 1.000,00;2351/8;$ 2.400,00;12910;$ 3.000,00
AB-485;2026_01;1755;$ 1.000,00;2352/0;$ 2.400,00;12911;$ 3.000,00
AB-486;2026_01;1775;$ 1.000,00;2353/1;$ 2.400,00;12912;$ 3.000,00
AB-487;2026_01;1828;$ 1.000,00;2354/3;$ 2.400,00;12913;$ 3.000,00
AB-488;2026_01;1734;$ 1.000,00;2355/5;$ 2.400,00;12914;$ 3.000,00
AB-489;2026_01;1899;$ 1.000,00;2356/7;$ 2.400,00;12915;$ 3.000,00
AB-490;2026_01;1849;$ 1.000,00;2357/9;$ 2.400,00;12916;$ 3.000,00
AB-491;2026_01;8139;$ 1.000,00;2358/1;$ 2.400,00;12917;$ 3.000,00
AB-492;2026_01;1795;$ 1.000,00;2359/2;$ 2.400,00;12918;$ 3.000,00
AB-493;2026_01;1812;$ 1.000,00;2360/9;$ 2.400,00;12919;$ 3.000,00
AB-494;2026_01;1580;$ 1.000,00;2361/1;$ 2.400,00;12920;$ 3.000,00
AB-495;2026_01;1753;$ 1.000,00;2362/2;$ 2.400,00;12921;$ 3.000,00
AB-496;2026_01;1896;$ 1.000,00;2363/4;$ 2.400,00;12922;$ 3.000,00
AB-497;2026_01;1898;$ 1.000,00;2364/6;$ 2.400,00;12923;$ 3.000,00
AB-498;2026_01;1823;$ 1.000,00;2365/8;$ 2.400,00;12924;$ 3.000,00
AB-499;2026_01;1730;$ 1.000,00;2366/0;$ 2.400,00;12925;$ 3.000,00
AB-500;2026_01;1864;$ 1.000,00;2367/1;$ 2.400,00;12926;$ 3.000,00
AB-501;2026_01;1832;$ 1.000,00;2368/3;$ 2.400,00;12927;$ 3.000,00
AB-502;2026_01;1891;$ 1.000,00;2369/5;$ 2.400,00;12928;$ 3.000,00
AB-503;2026_01;1840;$ 1.000,00;2370/1;$ 2.400,00;12929;$ 3.000,00
AB-504;2026_01;1763;$ 1.000,00;2371/3;$ 2.400,00;12930;$ 3.000,00
AB-505;2026_01;1766;$ 1.000,00;2372/5;$ 2.400,00;12931;$ 3.000,00
AB-506;2026_01;1578;$ 1.000,00;2373/7;$ 2.400,00;12932;$ 3.000,00
AB-507;2026_01;1876;$ 1.000,00;2374/9;$ 2.400,00;12933;$ 3.000,00
AB-508;2026_01;1811;$ 1.000,00;2375/1;$ 2.400,00;12934;$ 3.000,00
AB-509;2026_01;1754;$ 1.000,00;2376/2;$ 2.400,00;12935;$ 3.000,00
AB-510;2026_01;1815;$ 1.000,00;2377/4;$ 2.400,00;12936;$ 3.000,00
AB-511;2026_01;1731;$ 1.000,00;2378/6;$ 2.400,00;12937;$ 3.000,00
AB-512;2026_01;1905;$ 1.000,00;2379/8;$ 2.400,00;12938;$ 3.000,00
AB-513;2026_01;1740;$ 1.000,00;2380/4;$ 2.400,00;12939;$ 3.000,00
AB-514;2026_01;3454;$ 1.000,00;2381/6;$ 2.400,00;12940;$ 3.000,00
AB-515;2026_01;1808;$ 1.000,00;2382/8;$ 2.400,00;12941;$ 3.000,00
AB-516;2026_01;1853;$ 1.000,00;2383/0;$ 2.400,00;12942;$ 3.000,00
AB-517;2026_01;1855;$ 1.000,00;2384/1;$ 2.400,00;12943;$ 3.000,00
AB-518;2026_01;2836;$ 1.000,00;2385/3;$ 2.400,00;12944;$ 3.000,00
AB-519;2026_01;1630;$ 1.000,00;2386/5;$ 2.400,00;12945;$ 3.000,00
AB-520;2026_01;1909;$ 1.000,00;2387/7;$ 2.400,00;12946;$ 3.000,00
AB-521;2026_01;3418;$ 1.000,00;2388/9;$ 2.400,00;12947;$ 3.000,00
AB-522;2026_01;1908;$ 1.000,00;2389/1;$ 2.400,00;12948;$ 3.000,00
AB-523;2026_01;1923;$ 1.000,00;2390/7;$ 2.400,00;12949;$ 3.000,00
AB-524;2026_01;3266;$ 1.000,00;2391/9;$ 2.400,00;12950;$ 3.000,00
AB-525;2026_01;1907;$ 1.000,00;2392/1;$ 2.400,00;12951;$ 3.000,00
AB-526;2026_01;1929;$ 1.000,00;2393/2;$ 2.400,00;12952;$ 3.000,00
AB-527;2026_01;1901;$ 1.000,00;2394/4;$ 2.400,00;12953;$ 3.000,00
AB-528;2026_01;1916;$ 1.000,00;2395/6;$ 2.400,00;12954;$ 3.000,00
AB-530;2026_01;1914;$ 1.000,00;2397/0;$ 2.400,00;12955;$ 3.000,00
AB-531;2026_01;1799;$ 1.000,00;2398/1;$ 2.400,00;12956;$ 3.000,00
AB-532;2026_01;1765;$ 1.000,00;2399/3;$ 2.400,00;12957;$ 3.000,00
AB-533;2026_01;1626;$ 1.000,00;2400/6;$ 2.400,00;12958;$ 3.000,00
AB-534;2026_01;5464;$ 1.000,00;2401/8;$ 2.400,00;12959;$ 3.000,00
AB-535;2026_01;1797;$ 1.000,00;2402/0;$ 2.400,00;12960;$ 3.000,00
AB-536;2026_01;1739;$ 1.000,00;2403/1;$ 2.400,00;12961;$ 3.000,00
AB-537;2026_01;1806;$ 1.000,00;2404/3;$ 2.400,00;12962;$ 3.000,00
AB-538;2026_01;1802;$ 1.000,00;2405/5;$ 2.400,00;12963;$ 3.000,00
AB-701;2026_01;1208;$ 1.000,00;2406/7;$ 2.400,00;12994;$ 3.000,00
AB-702;2026_01;7540;$ 1.000,00;2407/9;$ 2.400,00;12995;$ 3.000,00
AB-703;2026_01;3320;$ 1.000,00;2408/1;$ 2.400,00;12996;$ 3.000,00
AB-704;2026_01;3097;$ 1.000,00;2409/2;$ 2.400,00;12997;$ 3.000,00
AS-A-01;2026_01;3637;$ 1.000,00;3542/9;$ 2.400,00;11874;$ 3.000,00
AS-A-02;2026_01;3660;$ 1.000,00;3545/4;$ 2.400,00;11875;$ 3.000,00
AS-A-03;2026_01;7282;$ 1.000,00;3547/8;$ 2.400,00;11876;$ 3.000,00
AS-A-04;2026_01;3655;$ 1.000,00;3555/7;$ 2.400,00;11877;$ 3.000,00
AS-A-05;2026_01;7097;$ 1.000,00;3544/2;$ 2.400,00;11824;$ 3.000,00
AS-A-06;2026_01;3799;$ 1.000,00;3550/8;$ 2.400,00;11878;$ 3.000,00
AS-A-07;2026_01;3800;$ 1.000,00;3546/6;$ 2.400,00;11879;$ 3.000,00
AS-A-08;2026_01;3796;$ 1.000,00;3551/0;$ 2.400,00;11880;$ 3.000,00
AS-A-09;2026_01;3787;$ 1.000,00;3554/5;$ 2.400,00;11881;$ 3.000,00
AS-A-10;2026_01;3789;$ 1.000,00;3556/9;$ 2.400,00;11882;$ 3.000,00
AS-A-11;2026_01;3798;$ 1.000,00;3543/1;$ 2.400,00;11883;$ 3.000,00
AS-A-12;2026_01;3794;$ 1.000,00;3548/0;$ 2.400,00;11884;$ 3.000,00
AS-A-13;2026_01;3793;$ 1.000,00;3549/1;$ 2.400,00;11885;$ 3.000,00
AS-A-14;2026_01;3795;$ 1.000,00;3553/3;$ 2.400,00;11886;$ 3.000,00
AS-A-15;2026_01;3788;$ 1.000,00;3552/1;$ 2.400,00;11887;$ 3.000,00
AS-A-16;2026_01;3790;$ 1.000,00;3558/2;$ 2.400,00;11888;$ 3.000,00
AS-A-17;2026_01;3636;$ 1.000,00;3571/5;$ 2.400,00;11889;$ 3.000,00
AS-A-18;2026_01;3633;$ 1.000,00;3574/1;$ 2.400,00;11890;$ 3.000,00
AS-A-19;2026_01;3767;$ 1.000,00;3579/0;$ 2.400,00;11891;$ 3.000,00
AS-A-20;2026_01;3792;$ 1.000,00;3559/4;$ 2.400,00;16065;$ 3.000,00
AS-A-21;2026_01;3779;$ 1.000,00;3560/1;$ 2.400,00;16066;$ 3.000,00
AS-A-22;2026_01;3785;$ 1.000,00;3561/2;$ 2.400,00;11892;$ 3.000,00
AS-A-23;2026_01;3781;$ 1.000,00;3565/0;$ 2.400,00;11893;$ 3.000,00
AS-A-24;2026_01;3783;$ 1.000,00;3566/1;$ 2.400,00;11894;$ 3.000,00
AS-A-25;2026_01;3627;$ 1.000,00;3569/7;$ 2.400,00;11895;$ 3.000,00
AS-A-26;2026_01;3624;$ 1.000,00;3570/3;$ 2.400,00;11896;$ 3.000,00
AS-A-27;2026_01;3769;$ 1.000,00;3577/6;$ 2.400,00;11897;$ 3.000,00
AS-A-28;2026_01;3770;$ 1.000,00;3578/8;$ 2.400,00;11898;$ 3.000,00
AS-A-29;2026_01;3773;$ 1.000,00;3580/6;$ 2.400,00;11899;$ 3.000,00
AS-A-30;2026_01;3774;$ 1.000,00;3583/1;$ 2.400,00;11900;$ 3.000,00
AS-A-31;2026_01;3776;$ 1.000,00;3584/3;$ 2.400,00;11901;$ 3.000,00
AS-A-32;2026_01;3763;$ 1.000,00;3585/5;$ 2.400,00;11902;$ 3.000,00
AS-A-33;2026_01;3791;$ 1.000,00;3557/1;$ 2.400,00;11903;$ 3.000,00
AS-A-34;2026_01;3780;$ 1.000,00;3563/6;$ 2.400,00;11904;$ 3.000,00
AS-A-35;2026_01;3786;$ 1.000,00;3564/8;$ 2.400,00;11905;$ 3.000,00
AS-A-36;2026_01;3782;$ 1.000,00;3567/3;$ 2.400,00;11906;$ 3.000,00
AS-A-37;2026_01;3784;$ 1.000,00;3568/5;$ 2.400,00;11907;$ 3.000,00
AS-A-38;2026_01;3639;$ 1.000,00;3572/7;$ 2.400,00;11908;$ 3.000,00
AS-A-39;2026_01;3634;$ 1.000,00;3573/9;$ 2.400,00;11909;$ 3.000,00
AS-A-40;2026_01;3778;$ 1.000,00;3575/2;$ 2.400,00;11910;$ 3.000,00
AS-A-41;2026_01;3777;$ 1.000,00;3576/4;$ 2.400,00;11911;$ 3.000,00
AS-A-42;2026_01;3772;$ 1.000,00;3582/0;$ 2.400,00;11912;$ 3.000,00
AS-A-43;2026_01;3775;$ 1.000,00;3581/8;$ 2.400,00;11913;$ 3.000,00
AS-A-44;2026_01;3762;$ 1.000,00;3586/7;$ 2.400,00;11914;$ 3.000,00
AS-A-45;2026_01;3761;$ 1.000,00;3587/9;$ 2.400,00;11915;$ 3.000,00
AS-B-01;2026_01;4847;$ 1.000,00;3590/9;$ 2.400,00;11916;$ 3.000,00
AS-B-02;2026_01;4854;$ 1.000,00;3591/1;$ 2.400,00;11917;$ 3.000,00
AS-B-03;2026_01;4849;$ 1.000,00;3592/2;$ 2.400,00;11918;$ 3.000,00
AS-B-04;2026_01;4852;$ 1.000,00;3593/4;$ 2.400,00;11919;$ 3.000,00
AS-B-05;2026_01;4846;$ 1.000,00;3594/6;$ 2.400,00;11920;$ 3.000,00
AS-B-06;2026_01;4853;$ 1.000,00;3595/8;$ 2.400,00;11921;$ 3.000,00
AS-B-07;2026_01;4851;$ 1.000,00;3596/0;$ 2.400,00;11922;$ 3.000,00
AS-B-08;2026_01;4848;$ 1.000,00;3597/1;$ 2.400,00;11923;$ 3.000,00
AS-B-09;2026_01;4842;$ 1.000,00;3598/3;$ 2.400,00;11924;$ 3.000,00
AS-C-01;2026_01;8827;$ 1.000,00;3646/0;$ 2.400,00;11925;$ 3.000,00
AS-C-02;2026_01;4707;$ 1.000,00;3647/1;$ 2.400,00;11926;$ 3.000,00
AS-C-03;2026_01;4703;$ 1.000,00;3651/3;$ 2.400,00;11927;$ 3.000,00
AS-C-04;2026_01;4698;$ 1.000,00;3653/7;$ 2.400,00;11928;$ 3.000,00
AS-C-05;2026_01;7730;$ 1.000,00;3645/8;$ 2.400,00;11929;$ 3.000,00
AS-C-06;2026_01;4709;$ 1.000,00;3649/5;$ 2.400,00;11930;$ 3.000,00
AS-C-07;2026_01;4708;$ 1.000,00;3648/3;$ 2.400,00;11931;$ 3.000,00
AS-C-08;2026_01;4697;$ 1.000,00;3656/2;$ 2.400,00;11932;$ 3.000,00
AS-C-09;2026_01;4701;$ 1.000,00;3657/4;$ 2.400,00;11933;$ 3.000,00
AS-C-10;2026_01;4695;$ 1.000,00;3658/6;$ 2.400,00;11934;$ 3.000,00
AS-C-11;2026_01;4705;$ 1.000,00;3644/6;$ 2.400,00;11935;$ 3.000,00
AS-C-12;2026_01;4710;$ 1.000,00;3652/5;$ 2.400,00;11936;$ 3.000,00
AS-C-13;2026_01;4702;$ 1.000,00;3650/1;$ 2.400,00;11937;$ 3.000,00
AS-C-14;2026_01;4700;$ 1.000,00;3655/1;$ 2.400,00;11938;$ 3.000,00
AS-C-15;2026_01;4696;$ 1.000,00;3654/9;$ 2.400,00;11939;$ 3.000,00
AS-C-16;2026_01;4699;$ 1.000,00;3659/8;$ 2.400,00;11940;$ 3.000,00
AS-D-01;2026_01;4850;$ 1.000,00;3599/5;$ 2.400,00;11941;$ 3.000,00
AS-D-02;2026_01;4841;$ 1.000,00;3600/8;$ 2.400,00;11942;$ 3.000,00
AS-D-03;2026_01;4845;$ 1.000,00;3601/0;$ 2.400,00;11943;$ 3.000,00
AS-D-04;2026_01;4840;$ 1.000,00;3602/1;$ 2.400,00;11944;$ 3.000,00
AS-D-05;2026_01;4843;$ 1.000,00;3603/3;$ 2.400,00;11945;$ 3.000,00
AS-D-06;2026_01;4844;$ 1.000,00;3604/5;$ 2.400,00;11946;$ 3.000,00
AS-D-07;2026_01;4839;$ 1.000,00;3605/7;$ 2.400,00;11947;$ 3.000,00
AS-D-08;2026_01;4831;$ 1.000,00;3606/9;$ 2.400,00;11948;$ 3.000,00
AS-D-09;2026_01;4832;$ 1.000,00;3607/1;$ 2.400,00;11949;$ 3.000,00
AS-E-01;2026_01;11460;$ 1.000,00;3662/8;$ 2.400,00;11950;$ 3.000,00
AS-E-02;2026_01;4691;$ 1.000,00;3663/0;$ 2.400,00;11951;$ 3.000,00
AS-E-03;2026_01;0;$ 0,00;3667/7;$ 0,00;0;$ 0,00
AS-E-04;2026_01;4834;$ 1.000,00;3669/1;$ 2.400,00;11952;$ 3.000,00
AS-E-05;2026_01;4689;$ 1.000,00;3661/6;$ 2.400,00;11953;$ 3.000,00
AS-E-06;2026_01;4694;$ 1.000,00;3668/9;$ 2.400,00;11954;$ 3.000,00
AS-E-07;2026_01;4693;$ 1.000,00;3666/5;$ 2.400,00;11955;$ 3.000,00
AS-E-08;2026_01;4838;$ 1.000,00;3672/1;$ 2.400,00;11956;$ 3.000,00
AS-E-09;2026_01;4835;$ 1.000,00;3670/7;$ 2.400,00;11957;$ 3.000,00
AS-E-10;2026_01;43517;$ 1.000,00;3676/8;$ 2.400,00;44181;$ 3.000,00
AS-E-11;2026_01;4692;$ 1.000,00;3660/4;$ 2.400,00;11960;$ 3.000,00
AS-E-12;2026_01;11442;$ 1.000,00;3665/3;$ 2.400,00;11961;$ 3.000,00
AS-E-13;2026_01;4833;$ 1.000,00;3664/1;$ 2.400,00;11962;$ 3.000,00
AS-E-14;2026_01;4837;$ 1.000,00;3671/9;$ 2.400,00;11963;$ 3.000,00
AS-E-15;2026_01;4836;$ 1.000,00;3673/2;$ 2.400,00;11964;$ 3.000,00
AS-E-16;2026_01;4682;$ 1.000,00;3674/4;$ 2.400,00;11965;$ 3.000,00
AS-E-17;2026_01;4683;$ 1.000,00;3677/0;$ 2.400,00;11966;$ 3.000,00
AS-E-18;2026_01;3743;$ 1.000,00;3678/1;$ 2.400,00;11967;$ 3.000,00
AS-E-19;2026_01;4686;$ 1.000,00;3683/5;$ 2.400,00;11968;$ 3.000,00
AS-E-20;2026_01;4676;$ 1.000,00;3680/0;$ 2.400,00;13625;$ 3.000,00
AS-E-21;2026_01;4675;$ 1.000,00;3685/9;$ 2.400,00;13626;$ 3.000,00
AS-E-22;2026_01;4678;$ 1.000,00;3686/1;$ 2.400,00;11969;$ 3.000,00
AS-E-23;2026_01;4679;$ 1.000,00;3689/6;$ 2.400,00;11970;$ 3.000,00
AS-E-24;2026_01;4671;$ 1.000,00;3690/2;$ 2.400,00;11971;$ 3.000,00
AS-E-25;2026_01;4667;$ 1.000,00;3693/8;$ 2.400,00;11972;$ 3.000,00
AS-E-26;2026_01;3040;$ 1.000,00;3675/6;$ 2.400,00;11973;$ 3.000,00
AS-E-27;2026_01;4687;$ 1.000,00;3682/3;$ 2.400,00;11974;$ 3.000,00
AS-E-28;2026_01;4688;$ 1.000,00;3679/3;$ 2.400,00;11975;$ 3.000,00
AS-E-29;2026_01;4674;$ 1.000,00;3684/7;$ 2.400,00;11976;$ 3.000,00
AS-E-30;2026_01;4677;$ 1.000,00;3681/1;$ 2.400,00;11977;$ 3.000,00
AS-E-31;2026_01;4681;$ 1.000,00;3688/4;$ 2.400,00;11978;$ 3.000,00
AS-E-32;2026_01;4680;$ 1.000,00;3687/2;$ 2.400,00;11979;$ 3.000,00
AS-E-33;2026_01;4672;$ 1.000,00;3692/6;$ 2.400,00;11980;$ 3.000,00
AS-E-34;2026_01;4668;$ 1.000,00;3691/4;$ 2.400,00;11981;$ 3.000,00
AS-F-01;2026_01;4812;$ 1.000,00;3609/4;$ 2.400,00;11982;$ 3.000,00
AS-F-02;2026_01;4813;$ 1.000,00;3608/2;$ 2.400,00;11983;$ 3.000,00
AS-F-03;2026_01;4877;$ 1.000,00;3642/2;$ 2.400,00;11984;$ 3.000,00
AS-F-04;2026_01;4876;$ 1.000,00;3639/2;$ 2.400,00;11985;$ 3.000,00
AS-F-05;2026_01;4872;$ 1.000,00;3640/9;$ 2.400,00;11986;$ 3.000,00
AS-F-06;2026_01;4873;$ 1.000,00;3643/4;$ 2.400,00;11987;$ 3.000,00
AS-F-07;2026_01;4874;$ 1.000,00;3641/1;$ 2.400,00;11988;$ 3.000,00
AS-G-01;2026_01;286;$ 1.000,00;3700/1;$ 2.400,00;11989;$ 3.000,00
AS-G-02;2026_01;4819;$ 1.000,00;3703/7;$ 2.400,00;11990;$ 3.000,00
AS-G-03;2026_01;4820;$ 1.000,00;3707/4;$ 2.400,00;11991;$ 3.000,00
AS-G-04;2026_01;4814;$ 1.000,00;3709/8;$ 2.400,00;11992;$ 3.000,00
AS-G-05;2026_01;4829;$ 1.000,00;3696/3;$ 2.400,00;11993;$ 3.000,00
AS-G-06;2026_01;4827;$ 1.000,00;3695/1;$ 2.400,00;11994;$ 3.000,00
AS-G-07;2026_01;4828;$ 1.000,00;3701/3;$ 2.400,00;11995;$ 3.000,00
AS-G-08;2026_01;4823;$ 1.000,00;3698/7;$ 2.400,00;11996;$ 3.000,00
AS-G-09;2026_01;4822;$ 1.000,00;3705/1;$ 2.400,00;11997;$ 3.000,00
AS-G-10;2026_01;4821;$ 1.000,00;3704/9;$ 2.400,00;11998;$ 3.000,00
AS-G-11;2026_01;4811;$ 1.000,00;3712/8;$ 2.400,00;11999;$ 3.000,00
AS-G-12;2026_01;4815;$ 1.000,00;3710/4;$ 2.400,00;12000;$ 3.000,00
AS-G-13;2026_01;4809;$ 1.000,00;3713/0;$ 2.400,00;12001;$ 3.000,00
AS-G-14;2026_01;11461;$ 1.000,00;3694/0;$ 2.400,00;12002;$ 3.000,00
AS-G-15;2026_01;4826;$ 1.000,00;3697/5;$ 2.400,00;12003;$ 3.000,00
AS-G-16;2026_01;4825;$ 1.000,00;3699/9;$ 2.400,00;12004;$ 3.000,00
AS-G-17;2026_01;4824;$ 1.000,00;3702/5;$ 2.400,00;12005;$ 3.000,00
AS-G-18;2026_01;4817;$ 1.000,00;3708/6;$ 2.400,00;12006;$ 3.000,00
AS-G-19;2026_01;4818;$ 1.000,00;3706/2;$ 2.400,00;12007;$ 3.000,00
AS-G-20;2026_01;4810;$ 1.000,00;3714/1;$ 2.400,00;12008;$ 3.000,00
AS-G-21;2026_01;4816;$ 1.000,00;3711/6;$ 2.400,00;12009;$ 3.000,00
AS-G-22;2026_01;4808;$ 1.000,00;3715/3;$ 2.400,00;12010;$ 3.000,00
